A,B,Source,Note,Text
Gwyn Morgan,Institute for Liberal Studies,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donated $75K,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $75,000 to the <b>Institute for Liberal Studies</b> since 2007."
Gwyn Morgan,Justice Centre for Constitutional Freedom,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donated $700K,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $706,500 to the <b>Justice Centre for Constitutional Freedom</b> since 2007."
Gwyn Morgan,Montreal Economic Institute,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donated $150K,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $150,000 to the <b>Montreal Economic Institute</b since 2007>."
Gwyn Morgan,Second Street,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donated $700K,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $700,000 to <b>Second Street</b> since 2007."
Gwyn Morgan,True North/Juno News,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,Donated $1M,"Since 2018, the <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $995,000 to <b>True North</b>."
Gwyn Morgan,Energy Probe/Lawrence Solomon,https://www.desmog.com/lawrence-solomon/,Donated $100K,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> donated $100,000 to the <b>Energy Probe Research Foundation</b> in 2020."
Imperial Oil,Canada Strong and Free Network,https://www.desmog.com/2025/04/10/danielle-smith-says-trump-supporter-ben-shapiro-is-among-canadas-allies/,Sponsor,<b>Imperial Oil</b> sponsored the <b>Canada Strong and Free Network</b>'s 2025 conference.
Imperial Oil,CAPP,https://www.capp.ca/en/about/board-of-directors/,Member,<b>Imperial Oil</b>'s CEO serves on the <b>CAPP</b> board.
Imperial Oil,Fraser Institute,https://deepclimate.org/2012/05/17/fraser-vs-pembina-part-2-funding/,Donated millions,"The <b>Fraser Institute</b> has received millions from <b>Imperial Oil</b>, though the total amount is not disclosed."
Imperial Oil,Macdonald-Laurier Institute,https://web.archive.org/web/20220307134011/https://macdonaldlaurier.ca/files/pdf/20200515_2019_MLI_ANNUAL_REPORT_FWeb.pdf,Donated to,"<b>Imperial Oil</b> has been named as a donor by the <b>Macdonald-Laurier Institute</b>, though the amounts are unknown."
Imperial Oil,Oil Sands Alliance,https://www.desmog.com/pathways-alliance/,Member,<b>Imperial Oil</b> is a member of <b>Oil Sands Alliance</b>.
Institute for Liberal Studies,Atlas Network,https://www.atlasnetwork.org/articles/ala-grad-reaches-next-generation-of-canadian-students,Member,The <b>Institute for Liberal Studies</b> is a member of the <b>Atlas Network</b>.
Institute for Liberal Studies,Canada Strong and Free Network,https://canadastrongandfree.network/partners/institute-for-liberal-studies/,Partner,The <b>Institute for Liberal Studies</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Canada Proud/Jeff Ballingall,Canada Strong and Proud,https://www.cbc.ca/news/science/robo-texts-third-parties-election-1.5232316,Affiliated,<b>Canada Proud</b>'s Jeff Ballingall provided the inspiration for and worked with <b>Canada Strong and Proud</b>.
Canada Proud/Jeff Ballingall,Pierre Poilievre,https://www.desmog.com/canada-proud/,Advertising,"<b>Pierre Poilievre</b>'s Conservative party leadership campaign hired <b>Jeff Ballingall</b>'s company, Mobilize Media Group, to ""boost his message online” in 2022."
Jeff Tonken,Birchcliff Energy,https://torontosun.com/news/national/federal_elections/business-titans-take-out-ad-backing-poilievre-and-conservatives,Chairman,<b>Jeff Tonken</b> is the Chairman of <b>Birchcliff Energy</b>.
Jeff Tonken,Friends of Free Enterprise In Canada,https://torontosun.com/news/national/federal_elections/business-titans-take-out-ad-backing-poilievre-and-conservatives,Supported,"<b>Jeff Tonken</b> backed Pierre Poilievre in the 2025 election, signing on to an ad campaign called <b>Friends of Free Enterprise in Canada</b>."
Justice Centre for Constitutional Freedom,Atlas Network,https://www.ctvnews.ca/winnipeg/article/a-closer-look-at-the-justice-centre-for-constitutional-freedoms-and-where-it-gets-its-support/,Member,The <b>Justice Centre for Constitutional Freedom</b> is a member of the <b>Atlas Network</b>.
Justice Centre for Constitutional Freedom,Canada Strong and Free Network,https://canadastrongandfree.network/partners/justice-centre-for-constitutional-freedoms/,Partner,The <b>Justice Centre for Constitutional Freedom</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Macdonald-Laurier Institute,Atlas Network,https://www.atlasnetwork.org/articles/mli-promotes-individualistic-legislative-approach-for-canadas-indigenous-communities,Member,The <b>Macdonald-Laurier Institute</b> is a member of the <b>Atlas Network</b>.
Macdonald-Laurier Institute,Canada Strong and Free Network,https://canadastrongandfree.network/partners/mcdonald-laurier-institute/,Partner,The <b>Macdonald-Laurier Institute</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Modern Miracle Network/Michael Binnion,Canada Strong and Free Network,https://www.desmog.com/canada-strong-and-free-network/,Board member,<b>Michael Binnion</b> is a member of <b>Canada Strong and Free</b> and his Modern Miracle Network is listed as a partner on CSFN's website.
Modern Miracle Network/Michael Binnion,Canada Strong and Proud,https://www.theglobeandmail.com/canada/article-who-are-new-brunswick-proud-and-how-are-they-helping-the/,Donated $5K,"Michael Binnion's <b>Modern Miracle Network</b> donated $5,000 to New Brunswick Proud in 2018 and has called for oil companies to fund Québec Fier. Both are <b>Canada Strong and Proud</b> organizations."
Modern Miracle Network/Michael Binnion,CAPP,https://www.marketscreener.com/insider/MICHAEL-BINNION-A02UQV/,Board member,<b>Michael Binnion</b> represents Questerre Energy at <b>CAPP</b>.
Modern Miracle Network/Michael Binnion,Pierre Poilievre,https://www.elections.ca/WPAPPS/WPF/EN/CCS/ContributionReport?returnStatus=1&reportOption=5&queryId=07c35565a99741a9a89df981dded6448&sortDirection=asc&sortOrder=0%2C1%2C2&totalRecordFound=26&current200Page=1&total200Pages=1&reportExists=True&displaySorting=True,Donated $1.3K,"A <b>Michael Binnion</b> from Calgary has dislosed $1,300 in donations to the Conservative Party of Canada with <b>Pierre Poilievre</b> as leader."
Modern Miracle Network/Michael Binnion,Macdonald-Laurier Institute,https://web.archive.org/web/20220307134011/https://macdonaldlaurier.ca/files/pdf/20200515_2019_MLI_ANNUAL_REPORT_FWeb.pdf,Donated to,"The <b>Modern Miracle Network</b> has been named as a donor by the <b>Macdonald-Laurier Institute</b>, though the amounts are unknown."
Michael Rose,CAPP,https://www.capp.ca/en/about/board-of-directors/,Board member,"<b>Michael Rose</b> and his wife, Susan Riddell Rose, are directors at <b>CAPP</b>."
Michael Rose,Friends of Free Enterprise In Canada,https://epaper.nationalpost.com/article/281642491019675,Supported,"<b>Michael Rose</b> backed Pierre Poilievre in the 2025 election, signing on to an ad campaign called <b>Friends of Free Enterprise in Canada</b>."
Michael Rose,Modern Miracle Network/Michael Binnion,https://www.desmog.com/modern-miracle-network/,Member,"<b>Michael Rose</b> and his wife, Susan Riddell Rose, are board members of the <b>Modern Miracle Network</b>."
Michael Rose,Tourmaline Oil,https://epaper.nationalpost.com/article/281642491019675,CEO,<b>Michael Rose</b> is the CEO of <b>Tourmaline Oil</b>.
Montreal Economic Institute,Atlas Network,https://www.desmog.com/montreal-economic-institute/,Member,The <b>Montreal Economic Institute</b> is a member of the <b>Atlas Network</b>.
Montreal Economic Institute,Canada Strong and Free Network,https://canadastrongandfree.network/partners/mei/,Partner,The <b>Montreal Economic Institute</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Ovintiv,CAPP,https://www.capp.ca/en/about/board-of-directors/,Member,<b>Ovintiv</b>'s CEO serves on the <b>CAPP</b> board.
Ovintiv,Fraser Institute,https://deepclimate.org/2012/05/17/fraser-vs-pembina-part-2-funding/,Donated $1M,"<b>Ovintiv</b>, when it was run by Gwyn Morgan and known as Encana, donated at least a million dollars to the <b>Fraser Institute</b>."
Oil Sands Alliance,Canada Strong and Free Network,https://canadastrongandfree.network/partners/pathways-alliance/,Partner,<b>Oil Sands Alliance</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Oil Sands Alliance,Pierre Poilievre,https://www.desmog.com/2024/04/04/pathways-alliance-co-founder-donated-to-pierre-poilievre-campaign-records-show/,Ex-CEOs donated $4.8K,"Former CEO's of three <b>Oil Sands Alliance</b> members donated $1,600 each to the Conservive party in support of Pierre Poilievre."
Questerre Energy,CAPP,https://content.influencemap.org/site/data/000/383/CAPP_ProducerMembers_March2019.pdf,Member,<b>Questerre Energy</b> is a member of <b>CAPP</b>.
Second Street,Atlas Network,https://www.desmog.com/secondstreet-org/,Member,<b>Second Street</b> is a member of the <b>Atlas</b> network.
Second Street,Canada Strong and Free Network,https://canadastrongandfree.network/partners/secondstreet-org/,Partner,<b>Second Street</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Suncor,Canada Strong and Free Network,https://www.desmog.com/2025/04/10/danielle-smith-says-trump-supporter-ben-shapiro-is-among-canadas-allies/,Sponsor,<b>Suncor</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Suncor,CAPP,https://www.capp.ca/en/about/board-of-directors/,Member,<b>Suncor</b>'s SVP serves on the <b>CAPP</b> board.
Suncor,Oil Sands Alliance,https://www.desmog.com/pathways-alliance/,Member,<b>Suncor</b> is a member of the <b>Oil Sands Alliance</b>.
Tourmaline Oil,Canada Strong and Free Network,https://www.desmog.com/2025/04/10/danielle-smith-says-trump-supporter-ben-shapiro-is-among-canadas-allies/,Sponsor,<b>Tourmaline Oil</b> sponsored the <b>Canada Strong and Free Network</b>'s 2025 conference.
Tourmaline Oil,CAPP,https://www.capp.ca/en/about/board-of-directors/,Member,<b>Tourmaline</b>'s CEO serves on the <b>CAPP</b> board.
True North/Juno News,Canada Strong and Free Network,https://canadastrongandfree.network/partners/true-north/,Partner,<b>True North</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
Modern Miracle Network/Michael Binnion,Questerre Energy,https://canadastrongandfree.network/speakers/michael-binnion/,President,<b>Michael Binnion</b> is the president of <b>Questerre Energy</b>.
